マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
アークフローラ富久町,東京都新宿区富久町,8,1階,93000.0,5000,1,26.22,https://suumo.jp/chintai/jnc_000074623692/?bc=100319377721,0.0,93000.0,都営新宿線,曙橋駅,1.0,0,1,0,0,新宿区,富久町,-19897.40357799441,117897.40357799441,98000.0
ビルトモア西新宿,東京都新宿区西新宿４,20,9階,82000.0,6000,1,23.762,https://suumo.jp/chintai/jnc_000046630917/?bc=100317830061,82000.0,0.0,ＪＲ山手線,新宿駅,9.0,0,1,0,0,新宿区,西新宿４,-19873.05386428829,107873.05386428829,88000.0
フレシール大久保,東京都新宿区大久保１,4,B1階,72000.0,0,1,9.152,https://suumo.jp/chintai/jnc_000052042809/?bc=100317168768,0.0,0.0,都営大江戸線,東新宿駅,-1.0,0,0,0,0,新宿区,大久保１,-19865.469816027427,91865.46981602743,72000.0
さつき荘,東京都新宿区西落合３,38,2階,62000.0,3000,1,24.842,https://suumo.jp/chintai/jnc_000080800925/?bc=100318834197,62000.0,0.0,都営大江戸線,落合南長崎駅,2.0,0,1,0,0,新宿区,西落合３,-19858.887315522457,84858.88731552246,65000.0
京王新線 初台駅 13階建 築17年,東京都新宿区西新宿４,17,10階,111000.0,7000,1,31.92,https://suumo.jp/chintai/jnc_000079940593/?bc=100318180229,111000.0,0.0,京王新線,初台駅,10.0,0,0,0,0,新宿区,西新宿４,-19839.185161360452,137839.18516136045,118000.0
新宿セブン,東京都新宿区新宿７,0,7階,124000.0,15000,1,26.842,https://suumo.jp/chintai/jnc_000079994017/?bc=100317925106,0.0,0.0,東京メトロ副都心線,東新宿駅,7.0,0,1,0,0,新宿区,新宿７,-19829.221615620714,158829.2216156207,139000.0
東京メトロ有楽町線 江戸川橋駅 12階建 築17年,東京都新宿区山吹町,17,5階,83000.0,10000,1,21.422,https://suumo.jp/chintai/jnc_000077567528/?bc=100300899505,83000.0,0.0,東京メトロ有楽町線,江戸川橋駅,5.0,0,1,0,0,新宿区,山吹町,-19826.734454354795,112826.7344543548,93000.0
東京メトロ東西線 早稲田駅 5階建 築19年,東京都新宿区西早稲田１,19,5階,63000.0,3000,1,14.052,https://suumo.jp/chintai/jnc_000079893090/?bc=100313787926,63000.0,63000.0,東京メトロ東西線,早稲田駅,5.0,0,0,0,0,新宿区,西早稲田１,-19812.020042472766,85812.02004247277,66000.0
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上11階建 築15年,東京都新宿区左門町,15,7階,144000.0,12000,1,30.722,https://suumo.jp/chintai/jnc_000079056262/?bc=100309524749,144000.0,144000.0,東京メトロ丸ノ内線,四谷三丁目駅,7.0,0,1,0,0,新宿区,左門町,-19781.74128210536,175781.74128210536,156000.0
アーバンプレイス北新宿,東京都新宿区北新宿３,10,2階,64000.0,3000,1,10.812,https://suumo.jp/chintai/jnc_000076304119/?bc=100305373740,64000.0,64000.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿３,-19765.90238994354,86765.90238994354,67000.0
ヴィラ筑波,東京都新宿区大久保２,64,1階,79000.0,0,1,242.0,https://suumo.jp/chintai/jnc_000054374509/?bc=100283355782,79000.0,79000.0,ＪＲ山手線,高田馬場駅,1.0,0,0,0,0,新宿区,大久保２,-19748.954169409,98748.954169409,79000.0
LIBR GRANT 四谷三丁目,東京都新宿区四谷４,0,1階,120000.0,8000,1,26.172,https://suumo.jp/chintai/jnc_000079050172/?bc=100312651535,120000.0,120000.0,東京メトロ丸ノ内線,四谷三丁目駅,1.0,0,1,0,0,新宿区,四谷４,-19742.780762039038,147742.78076203904,128000.0
中落合ヒルサイドテラス,東京都新宿区中落合２,38,2階,60000.0,0,1,202.0,https://suumo.jp/chintai/jnc_000078404075/?bc=100251773214,60000.0,0.0,都営大江戸線,中井駅,2.0,0,1,0,0,新宿区,中落合２,-19721.055052104857,79721.05505210486,60000.0
東京メトロ東西線 早稲田駅 4階建 築45年,東京都新宿区早稲田鶴巻町,45,3階,76000.0,2000,1,25.442,https://suumo.jp/chintai/jnc_000071357384/?bc=100263424335,76000.0,76000.0,東京メトロ東西線,早稲田駅,3.0,1,0,1,0,新宿区,早稲田鶴巻町,-19715.312826836365,97715.31282683637,78000.0
グランド・ガーラ新宿,東京都新宿区北新宿１,17,9階,91000.0,9000,1,23.372,https://suumo.jp/chintai/jnc_000048291046/?bc=100319494067,91000.0,182000.0,ＪＲ中央線,大久保駅,9.0,0,1,0,0,新宿区,北新宿１,-19693.49941739833,119693.49941739833,100000.0
アーバンプレイス神楽坂IIB,東京都新宿区北山伏町,7,2階,61000.0,4000,1,10.832,https://suumo.jp/chintai/jnc_000080927515/?bc=100318866715,0.0,61000.0,東京メトロ東西線,神楽坂駅,2.0,0,0,0,0,新宿区,北山伏町,-19683.8132183914,84683.8132183914,65000.0
ＪＲ中央線 大久保駅 11階建 築20年,東京都新宿区北新宿１,20,2階,168000.0,5000,1,40.212,https://suumo.jp/chintai/jnc_000056368744/?bc=100319501978,168000.0,168000.0,ＪＲ中央線,大久保駅,2.0,1,0,1,0,新宿区,北新宿１,-19679.777302499773,192679.77730249977,173000.0
東京メトロ東西線 落合駅 6階建 築25年,東京都新宿区上落合２,25,1階,57000.0,3000,1,19.232,https://suumo.jp/chintai/jnc_000079019328/?bc=100309066254,57000.0,57000.0,東京メトロ東西線,落合駅,1.0,0,0,0,0,新宿区,上落合２,-19646.76879263678,79646.76879263678,60000.0
都営大江戸線 落合南長崎駅 4階建 築23年,東京都新宿区西落合１,23,1階,64000.0,6000,1,19.322,https://suumo.jp/chintai/jnc_000037759830/?bc=100254527542,64000.0,64000.0,都営大江戸線,落合南長崎駅,1.0,0,1,0,0,新宿区,西落合１,-19638.88269249625,89638.88269249625,70000.0
ドース北新宿,東京都新宿区北新宿１,34,2階,62000.0,2000,1,172.0,https://suumo.jp/chintai/jnc_000080328410/?bc=100316155424,0.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿１,-19636.778907702886,83636.77890770289,64000.0
Ｋ♭,東京都新宿区中井１,22,2階,56000.0,3000,1,16.022,https://suumo.jp/chintai/jnc_000032212145/?bc=100153908943,56000.0,56000.0,都営大江戸線,中井駅,2.0,0,1,0,0,新宿区,中井１,-19629.52397420285,78629.52397420285,59000.0
東京メトロ有楽町線 江戸川橋駅 11階建 築16年,東京都新宿区山吹町,16,3階,87000.0,8000,1,19.632,https://suumo.jp/chintai/jnc_000025040182/?bc=100314725957,87000.0,87000.0,東京メトロ有楽町線,江戸川橋駅,3.0,0,0,0,0,新宿区,山吹町,-19619.465895862042,114619.46589586204,95000.0
フレールK＆Y,東京都新宿区舟町,18,7階,107000.0,10000,1,28.872,https://suumo.jp/chintai/jnc_000058497316/?bc=100315584885,107000.0,107000.0,東京メトロ丸ノ内線,四谷三丁目駅,7.0,0,1,0,0,新宿区,舟町,-19612.12120777191,136612.1212077719,117000.0
ＪＲ山手線 目白駅 2階建 築30年,東京都新宿区下落合３,30,1階,63000.0,4500,1,18.82,https://suumo.jp/chintai/jnc_000059283731/?bc=100318106458,0.0,0.0,ＪＲ山手線,目白駅,1.0,0,1,0,0,新宿区,下落合３,-19591.68484645721,87091.68484645721,67500.0
ROJI FLAT,東京都新宿区高田馬場４,2,1階,147000.0,3000,1,47.722,https://suumo.jp/chintai/jnc_000077055011/?bc=100318543055,147000.0,147000.0,ＪＲ山手線,高田馬場駅,1.0,1,0,1,0,新宿区,高田馬場４,-19561.354803284194,169561.3548032842,150000.0
ザ・パークハビオ神楽坂香月,東京都新宿区水道町,4,5階,130000.0,10000,1,27.622,https://suumo.jp/chintai/jnc_000049372016/?bc=100312913996,130000.0,0.0,東京メトロ有楽町線,江戸川橋駅,5.0,0,1,0,0,新宿区,水道町,-19554.208298895537,159554.20829889554,140000.0
落合ビル,東京都新宿区榎町,50,3階,55000.0,0,1,21.032,https://suumo.jp/chintai/jnc_000080053689/?bc=100297441069,0.0,0.0,ＪＲ中央線,飯田橋駅,3.0,0,1,0,0,新宿区,榎町,-19553.704057362134,74553.70405736213,55000.0
ＪＲ山手線 高田馬場駅 5階建 築27年,東京都新宿区高田馬場１,27,1階,82000.0,5000,1,21.422,https://suumo.jp/chintai/jnc_000080536974/?bc=100317398135,82000.0,82000.0,ＪＲ山手線,高田馬場駅,1.0,0,1,0,0,新宿区,高田馬場１,-19549.330365575428,106549.33036557543,87000.0
東京メトロ副都心線 東新宿駅 12階建 築10年,東京都新宿区新宿６,10,7階,95000.0,9000,1,25.422,https://suumo.jp/chintai/jnc_000064677304/?bc=100319475431,0.0,142500.0,東京メトロ副都心線,東新宿駅,7.0,0,1,0,0,新宿区,新宿６,-19544.373152477638,123544.37315247764,104000.0
東京メトロ東西線 落合駅 8階建 築17年,東京都新宿区北新宿４,17,3階,120000.0,0,1,39.132,https://suumo.jp/chintai/jnc_000080723007/?bc=100318445231,120000.0,120000.0,東京メトロ東西線,落合駅,3.0,1,0,1,0,新宿区,北新宿４,-19527.452974432847,139527.45297443285,120000.0
ウインハウス大谷,東京都新宿区中落合４,29,3階,50000.0,3000,1,152.0,https://suumo.jp/chintai/jnc_000079451879/?bc=100296503348,0.0,0.0,都営大江戸線,落合南長崎駅,3.0,0,1,0,0,新宿区,中落合４,-19511.885010815007,72511.885010815,53000.0
荻原ビル,東京都新宿区早稲田鶴巻町,40,3階,86000.0,0,2,39.042,https://suumo.jp/chintai/jnc_000041695472/?bc=100319489720,86000.0,86000.0,東京メトロ有楽町線,江戸川橋駅,3.0,1,0,0,0,新宿区,早稲田鶴巻町,-19501.133451213012,105501.13345121301,86000.0
サンテミリオン目白西,東京都新宿区中落合２,22,5階,80000.0,9000,1,23.292,https://suumo.jp/chintai/jnc_000076982749/?bc=100298416460,0.0,0.0,西武池袋線,椎名町駅,5.0,0,0,0,0,新宿区,中落合２,-19425.967765045483,108425.96776504548,89000.0
都営大江戸線 西新宿五丁目駅 2階建 築9年,東京都新宿区西新宿５,9,2階,64000.0,3000,1,10.122,https://suumo.jp/chintai/jnc_000079305257/?bc=100313613264,0.0,0.0,都営大江戸線,西新宿五丁目駅,2.0,0,0,0,0,新宿区,西新宿５,-19400.092780432504,86400.0927804325,67000.0
東京メトロ副都心線 西早稲田駅 5階建 築41年,東京都新宿区西早稲田２,41,3階,63000.0,0,1,19.832,https://suumo.jp/chintai/jnc_000080846354/?bc=100189260698,63000.0,0.0,東京メトロ副都心線,西早稲田駅,3.0,0,1,0,0,新宿区,西早稲田２,-19399.648195723857,82399.64819572386,63000.0
LIBR GRANT 四谷三丁目,東京都新宿区四谷４,0,3階,235000.0,10000,1,43.172,https://suumo.jp/chintai/jnc_000080318702/?bc=100309341547,235000.0,235000.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,1,0,新宿区,四谷４,-19385.316791588615,264385.3167915886,245000.0
ソル　イ　ヴィエント,東京都新宿区中井１,20,3階,73000.0,0,1,21.42,https://suumo.jp/chintai/jnc_000067041040/?bc=100306678415,73000.0,73000.0,西武新宿線,中井駅,3.0,0,1,0,0,新宿区,中井１,-19374.510613618753,92374.51061361875,73000.0
ライフピア北新宿,東京都新宿区北新宿２,17,1階,62000.0,3000,1,13.482,https://suumo.jp/chintai/jnc_000037982207/?bc=100317063304,0.0,0.0,東京メトロ丸ノ内線,西新宿駅,1.0,0,0,0,0,新宿区,北新宿２,-19373.403448304,84373.403448304,65000.0
ルーブル早稲田,東京都新宿区早稲田鶴巻町,21,2階,85000.0,0,1,20.132,https://suumo.jp/chintai/jnc_000079685064/?bc=100312872444,0.0,85000.0,東京メトロ東西線,早稲田駅,2.0,0,1,0,0,新宿区,早稲田鶴巻町,-19356.644593313657,104356.64459331366,85000.0
ウイング下落合,東京都新宿区下落合４,17,1階,86000.0,3000,1,33.752,https://suumo.jp/chintai/jnc_000078261692/?bc=100257897514,86000.0,86000.0,西武新宿線,下落合駅,1.0,0,0,0,0,新宿区,下落合４,-19314.81117744012,108314.81117744012,89000.0
エクセレント中井,東京都新宿区中井２,32,1階,49000.0,8000,1,17.822,https://suumo.jp/chintai/jnc_000022390701/?bc=100138573757,98000.0,49000.0,西武新宿線,中井駅,1.0,0,1,0,0,新宿区,中井２,-19308.432778503775,76308.43277850377,57000.0
ヴィラ琴寄,東京都新宿区西早稲田２,26,3階,63000.0,0,1,172.0,https://suumo.jp/chintai/jnc_000073711908/?bc=100314645843,63000.0,63000.0,東京メトロ副都心線,西早稲田駅,3.0,0,1,0,0,新宿区,西早稲田２,-19305.707142314117,82305.70714231412,63000.0
リマールパレス,東京都新宿区天神町,36,1階,60000.0,0,1,18.642,https://suumo.jp/chintai/jnc_000078831359/?bc=100292303345,60000.0,60000.0,東京メトロ東西線,神楽坂駅,1.0,0,1,0,0,新宿区,天神町,-19285.872881979958,79285.87288197996,60000.0
ライオンズマンション市ヶ谷薬王寺,東京都新宿区市谷薬王寺町,38,11階,55000.0,10000,1,23.282,https://suumo.jp/chintai/jnc_000077269416/?bc=100310394982,0.0,0.0,都営新宿線,曙橋駅,11.0,0,1,0,0,新宿区,市谷薬王寺町,-19284.156257580995,84284.156257581,65000.0
ＣＡＳＡ　ＫＳ,東京都新宿区高田馬場４,18,3階,82000.0,0,1,20.62,https://suumo.jp/chintai/jnc_000078963630/?bc=100308788077,82000.0,0.0,ＪＲ山手線,高田馬場駅,3.0,0,0,0,0,新宿区,高田馬場４,-19283.92551736599,101283.92551736599,82000.0
グランパセオ東新宿,東京都新宿区新宿６,0,3階,123000.0,10000,1,25.142,https://suumo.jp/chintai/jnc_000080702219/?bc=100319534266,0.0,0.0,東京メトロ副都心線,東新宿駅,3.0,0,0,0,0,新宿区,新宿６,-19275.888760118687,152275.8887601187,133000.0
東京メトロ東西線 神楽坂駅 11階建 築15年,東京都新宿区山吹町,15,4階,80000.0,10000,1,21.012,https://suumo.jp/chintai/jnc_000017219021/?bc=100318495530,0.0,80000.0,東京メトロ東西線,神楽坂駅,4.0,1,0,0,1,新宿区,山吹町,-19263.044670606003,109263.044670606,90000.0
トーシンフェニックス牛込神楽坂,東京都新宿区中町,17,1階,85000.0,10500,1,19.82,https://suumo.jp/chintai/jnc_000080723035/?bc=100318377145,0.0,85000.0,都営大江戸線,牛込神楽坂駅,1.0,0,1,0,0,新宿区,中町,-19245.236052212713,114745.23605221271,95500.0
プレール・ドゥーク東新宿II,東京都新宿区大久保１,17,1階,104000.0,10500,1,22.932,https://suumo.jp/chintai/jnc_000073028602/?bc=100314330565,0.0,104000.0,都営大江戸線,東新宿駅,1.0,0,1,0,0,新宿区,大久保１,-19242.277958806488,133742.2779588065,114500.0
スカイパレス西新宿,東京都新宿区西新宿４,23,1階,80000.0,10000,1,20.652,https://suumo.jp/chintai/jnc_000080723058/?bc=100318429200,0.0,0.0,都営大江戸線,西新宿五丁目駅,1.0,0,1,0,0,新宿区,西新宿４,-19232.273130670626,109232.27313067063,90000.0
LIBR GRANT 四谷三丁目,東京都新宿区四谷４,0,4階,148000.0,8000,1,28.342,https://suumo.jp/chintai/jnc_000080394018/?bc=100316547960,148000.0,148000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,0,0,0,0,新宿区,四谷４,-19226.722125068278,175226.72212506828,156000.0
近藤コーポ,東京都新宿区中井２,34,2階,61000.0,0,1,22.272,https://suumo.jp/chintai/jnc_000074837790/?bc=100170030444,61000.0,0.0,西武新宿線,中井駅,2.0,0,1,0,0,新宿区,中井２,-19218.17694086954,80218.17694086954,61000.0
都営大江戸線 若松河田駅 14階建 築6年,東京都新宿区若松町,6,3階,139000.0,10500,1,25.52,https://suumo.jp/chintai/jnc_000078656935/?bc=100304841362,0.0,139000.0,都営大江戸線,若松河田駅,3.0,0,1,0,0,新宿区,若松町,-19217.802215326286,168717.8022153263,149500.0
コンフォート神楽坂Ｂ棟,東京都新宿区赤城下町,32,3階,52000.0,3000,1,9.882,https://suumo.jp/chintai/jnc_000024049543/?bc=100293059467,52000.0,52000.0,東京メトロ東西線,神楽坂駅,3.0,0,0,0,0,新宿区,赤城下町,-19217.18116670758,74217.18116670758,55000.0
ジュネス北新宿,東京都新宿区北新宿３,37,2階,54000.0,3000,1,12.72,https://suumo.jp/chintai/jnc_000043839526/?bc=100134861919,0.0,0.0,ＪＲ中央線,東中野駅,2.0,0,0,0,0,新宿区,北新宿３,-19203.571447340248,76203.57144734025,57000.0
都営大江戸線 牛込神楽坂駅 3階建 築38年,東京都新宿区袋町,38,3階,77000.0,0,1,18.282,https://suumo.jp/chintai/jnc_000070121979/?bc=100319226523,77000.0,0.0,都営大江戸線,牛込神楽坂駅,3.0,0,0,0,0,新宿区,袋町,-19179.440844913668,96179.44084491367,77000.0
ＪＲ山手線 新宿駅 16階建 築18年,東京都新宿区西新宿３,18,7階,109000.0,10000,1,22.52,https://suumo.jp/chintai/jnc_000078775345/?bc=100307634398,0.0,109000.0,ＪＲ山手線,新宿駅,7.0,0,1,0,0,新宿区,西新宿３,-19167.970327796735,138167.97032779673,119000.0
パークサイド矢来３７,東京都新宿区矢来町,31,2階,63000.0,3000,1,132.0,https://suumo.jp/chintai/jnc_000077515597/?bc=100283258620,0.0,0.0,東京メトロ東西線,神楽坂駅,2.0,0,0,0,0,新宿区,矢来町,-19138.399478606196,85138.3994786062,66000.0
レヴェーユ,東京都新宿区若松町,21,3階,90000.0,5000,1,26.072,https://suumo.jp/chintai/jnc_000043759284/?bc=100315585394,90000.0,0.0,都営大江戸線,牛込柳町駅,3.0,0,1,0,0,新宿区,若松町,-19129.749869675783,114129.74986967578,95000.0
メゾンエクレーレ新宿西戸山,東京都新宿区大久保２,25,2階,85000.0,2000,1,20.242,https://suumo.jp/chintai/jnc_000080781163/?bc=100318757170,85000.0,85000.0,東京メトロ副都心線,東新宿駅,2.0,0,1,0,0,新宿区,大久保２,-19129.329284996886,106129.32928499689,87000.0
ＪＲ山手線 新大久保駅 4階建 築24年,東京都新宿区北新宿３,24,2階,115000.0,5000,2,37.012,https://suumo.jp/chintai/jnc_000023896164/?bc=100317681882,115000.0,115000.0,ＪＲ山手線,新大久保駅,2.0,0,1,0,0,新宿区,北新宿３,-19128.24068248106,139128.24068248106,120000.0
ＪＲ山手線 高田馬場駅 3階建 築33年,東京都新宿区高田馬場１,33,3階,75000.0,3000,1,212.0,https://suumo.jp/chintai/jnc_000079513480/?bc=100314565527,75000.0,0.0,ＪＲ山手線,高田馬場駅,3.0,0,1,0,0,新宿区,高田馬場１,-19121.08364460776,97121.08364460776,78000.0
都営大江戸線 牛込柳町駅 12階建 築22年,東京都新宿区市谷薬王寺町,22,2階,86000.0,9000,1,25.112,https://suumo.jp/chintai/jnc_000079138491/?bc=100310031383,0.0,86000.0,都営大江戸線,牛込柳町駅,2.0,0,1,0,0,新宿区,市谷薬王寺町,-19111.922048449924,114111.92204844992,95000.0
カバナ新宿夏目坂,東京都新宿区原町３,0,9階,130000.0,8000,1,28.782,https://suumo.jp/chintai/jnc_000076686865/?bc=100317412829,130000.0,0.0,都営大江戸線,若松河田駅,9.0,0,1,0,0,新宿区,原町３,-19105.712324863474,157105.71232486347,138000.0
パレステュディオ新宿パークサイド,東京都新宿区西新宿４,20,7階,94000.0,8000,1,23.22,https://suumo.jp/chintai/jnc_000080569165/?bc=100317778977,0.0,94000.0,都営大江戸線,西新宿五丁目駅,7.0,0,1,0,0,新宿区,西新宿４,-19097.050755256787,121097.05075525679,102000.0
エクセレント中井,東京都新宿区中井２,32,1階,49000.0,8000,1,16.742,https://suumo.jp/chintai/jnc_000022428595/?bc=100312164942,98000.0,49000.0,西武新宿線,中井駅,1.0,0,1,0,0,新宿区,中井２,-19081.437197032516,76081.43719703252,57000.0
ルームズ新大久保,東京都新宿区大久保２,7,2階,72000.0,6000,1,13.772,https://suumo.jp/chintai/jnc_000079226146/?bc=100310375309,0.0,0.0,都営大江戸線,東新宿駅,2.0,0,1,0,0,新宿区,大久保２,-19055.633897188498,97055.6338971885,78000.0
